GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-service-server,com.mamezou.rms.external.webapi.dto,ReservationResourceDto,2,109,1,1,1,22,1,19,0,19
rms-service-server,com.mamezou.rms.external.webapi.dto,AddReservationDto,0,50,0,0,0,8,0,12,0,12
rms-service-server,com.mamezou.rms.external.webapi.dto,RentalItemResourceDto,2,48,1,1,1,12,1,9,0,9
rms-service-server,com.mamezou.rms.external.webapi.dto,UserAccountResourceDto,2,111,1,1,1,23,1,18,0,18
rms-service-server,com.mamezou.rms.external.webapi.dto,AddRentalItemDto,0,23,0,0,0,5,0,6,0,6
rms-service-server,com.mamezou.rms.external.webapi.dto,LoginDto,11,21,0,0,2,3,3,4,3,4
rms-service-server,com.mamezou.rms.external.webapi.dto,AddUserAccountDto,0,59,0,0,0,9,0,14,0,14
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.BusinessFlowExceptionMapper,8,42,1,3,1,15,1,4,0,2
rms-service-server,com.mamezou.rms.external.webapi.mapper,ValidationErrorInfo.ValidationErrorItem,0,26,0,0,0,5,0,6,0,6
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMapperFeature,0,25,0,0,0,7,0,2,0,2
rms-service-server,com.mamezou.rms.external.webapi.mapper,ValidationErrorInfo,0,18,0,0,0,6,0,4,0,4
rms-service-server,com.mamezou.rms.external.webapi.mapper,GenericErrorInfo,0,26,0,0,0,12,0,6,0,6
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers,3,4,0,0,1,1,1,1,1,1
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.RmsSystemExceptionMapper,24,3,0,0,7,1,1,1,1,1
rms-service-server,com.mamezou.rms.external.webapi.mapper,ServerExceptionMappers.ConstraintExceptionMapper,0,48,0,0,0,13,0,3,0,3
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserDtoClaimsFactory,0,12,0,0,0,3,0,3,0,3
rms-service-server,com.mamezou.rms.external.webapi.jwt,LoginUserRequestFilter,0,34,0,2,0,12,0,5,0,4
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserClaimsAdaptor,0,21,0,0,0,6,0,4,0,4
rms-service-server,com.mamezou.rms.external.webapi.jwt,UserClaimsFactoryProducers,0,7,0,0,0,2,0,2,0,2
rms-service-server,com.mamezou.rms.external.webapi,ApplicationConfig,0,18,0,0,0,4,0,3,0,3
rms-service-server,com.mamezou.rms.external.webapi,RentalReservationResource,0,115,0,0,0,33,0,13,0,13
rms-service-server,com.mamezou.rms.external.webapi,ManagementResource,47,0,2,0,16,0,5,0,4,0
rms-service-server,com.mamezou.rms.external.webapi,WebApiMain,38,0,0,0,18,0,4,0,4,0
